2023.01.26,"2,310",60,"2,270","2,360","2,230","405,859"
2023.01.25,"2,250",60,"2,300","2,340","2,215","517,836"
2023.01.20,"2,310",5,"2,340","2,375","2,290","519,381"
2023.01.19,"2,315",25,"2,260","2,665","2,230","3,913,990"
2023.01.18,"2,290",145,"2,155","2,295","2,145","734,429"
2023.01.17,"2,145",60,"2,150","2,180","2,105","421,116"
2023.01.16,"2,085",90,"1,980","2,090","1,980","339,537"
2023.01.13,"1,995",5,"1,970","2,000","1,970","93,007"
2023.01.12,"1,990",25,"1,955","2,010","1,900","226,159"
2023.01.11,"1,965",15,"1,970","2,010","1,960","116,576"
